Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
WTCHG_329570_287_1	60.07619549049739	49.0	75.0	18.181818181818183	53850217.0
WTCHG_329570_287_2	51.208126777326214	49.0	75.0	9.090909090909092	53850217.0
WTCHG_329570_288_1	64.7433398876358	50.0	75.0	18.181818181818183	55736493.0
WTCHG_329570_288_2	57.53387190906027	51.0	75.0	9.090909090909092	55736493.0
WTCHG_329570_289_1	59.97020211219083	49.0	75.0	18.181818181818183	52349721.0
WTCHG_329570_289_2	50.83882122267714	49.0	75.0	9.090909090909092	52349721.0
WTCHG_329570_290_1	58.60064013749204	48.0	75.0	18.181818181818183	49603429.0
WTCHG_329570_290_2	47.43332588151409	48.0	75.0	0.0	49603429.0
WTCHG_329570_291_1	62.79862769290903	49.0	75.0	18.181818181818183	55326149.0
WTCHG_329570_291_2	49.12337922850014	49.0	75.0	0.0	55326149.0
WTCHG_329570_292_1	61.7651026263887	50.0	75.0	18.181818181818183	50706160.0
WTCHG_329570_292_2	50.96479965704122	50.0	75.0	9.090909090909092	50706160.0
WTCHG_329570_293_1	58.95161123069948	49.0	75.0	18.181818181818183	51400723.0
WTCHG_329570_293_2	49.057567197242136	49.0	75.0	0.0	51400723.0
