UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
4	4424
4	2616
0	5368
228	5373
0	4632
4	4206
5	3778
0	1115
0	5365
1	1
1	3
0	14
0	13
1	3
0	13
0	0
0	6
0	6
1	2
0	2
0	6
0	1
0	1
0	1
0	0
682	234
0	231
44	4337
2	3616
2	2298
0	1865
0	994
0	1331
0	453
5	3544
0	0
0	0
0	0
0	0
0	0
2	63
0	2
0	5
0	5
0	1
1	1
0	0
0	5
1	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1760
1	2457
4	477
1	6125
2	3273
1	202
5	2081
7	0
0	801
4	302
8	2359
0	1316
1	53
1	1022
0	6145
0	0
0	0
0	5579
1	8126
15	20842
5	22674
0	10985
1	2814
3	5187
0	2474
4	1225
0	22
0	0
0	0
10	856
5	823
1	849
0	848
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	1
0	0
0	0
0	57
0	22
0	17
0	20
0	55
0	57
6	82317
156	22165
42	17364
1	6523
32	6183
35	7533
58	7873
26	82852
0	2802
0	2854
0	5
8	2804
0	5330
0	5281
0	5314
0	5109
0	2641
0	4851
0	5220
0	4707
0	4707
0	4432
0	2763
0	4343
0	4604
0	4528
0	4186
0	4279
0	4740
0	4510
0	4027
0	4254
0	4479
1	4452
0	4629
0	4259
0	4267
0	4035
0	4171
0	4071
0	4388
0	3980
0	4401
0	4313
0	4198
0	4408
1	1846
0	3983
0	3969
0	3465
0	3934
0	2573
0	3956
0	3958
0	3714
0	3852
0	3834
0	4141
0	3699
0	3536
