RetainedRef	DuplicateRef
ENST00000431812.1	ENST00000587432.5
ENST00000641374.1	ENST00000305377.5
ENST00000414395.1	ENST00000449659.1
ENST00000579075.1	ENST00000581927.1
ENST00000548920.2	ENST00000334656.11
ENST00000650107.1	ENST00000647964.1
ENST00000620428.1	ENST00000525023.1
ENST00000346299.9	ENST00000393223.7
ENST00000306853.1	ENST00000306641.1
ENST00000408263.1	ENST00000408606.1
ENST00000408263.1	ENST00000408676.1
ENST00000558152.2	ENST00000611734.1
ENST00000362692.1	ENST00000364234.1
ENST00000420246.6	ENST00000622645.4
ENST00000399295.2	ENST00000624758.3
ENST00000578671.1	ENST00000583920.1
ENST00000578671.1	ENST00000618224.1
ENST00000570550.5	ENST00000571246.5
ENST00000617232.1	ENST00000620922.1
ENST00000650361.1	ENST00000362534.1
ENST00000620032.1	ENST00000615262.1
ENST00000641710.1	ENST00000651677.1
ENST00000533357.5	ENST00000672602.2
ENST00000425917.1	ENST00000466329.1
ENST00000631211.1	ENST00000627981.1
ENST00000631211.1	ENST00000625598.1
ENST00000579107.1	ENST00000617599.1
ENST00000579107.1	ENST00000578940.1
ENST00000579107.1	ENST00000579566.1
ENST00000384058.1	ENST00000384334.1
ENST00000526520.5	ENST00000530328.5
ENST00000442578.5	ENST00000639086.1
ENST00000459326.1	ENST00000458926.1
ENST00000622040.1	ENST00000612110.1
ENST00000622040.1	ENST00000516847.1
ENST00000306585.9	ENST00000519520.6
ENST00000482903.1	ENST00000473101.1
ENST00000375600.5	ENST00000375613.7
ENST00000362583.1	ENST00000362912.1
ENST00000363098.1	ENST00000364612.1
ENST00000363098.1	ENST00000363293.1
ENST00000644276.1	ENST00000624077.1
ENST00000615389.1	ENST00000617664.1
ENST00000615389.1	ENST00000615860.1
ENST00000615389.1	ENST00000611011.1
ENST00000616772.1	ENST00000616769.1
ENST00000252457.9	ENST00000375308.5
ENST00000410467.1	ENST00000410860.1
ENST00000410467.1	ENST00000410382.1
ENST00000410467.1	ENST00000411276.1
ENST00000410467.1	ENST00000411324.1
ENST00000410467.1	ENST00000410293.1
ENST00000410467.1	ENST00000620287.1
ENST00000410467.1	ENST00000410691.1
ENST00000410467.1	ENST00000410427.1
ENST00000410467.1	ENST00000614007.1
ENST00000410467.1	ENST00000410397.1
ENST00000631331.1	ENST00000417334.1
ENST00000613896.1	ENST00000614933.1
ENST00000622460.1	ENST00000611059.1
ENST00000611504.1	ENST00000621227.1
ENST00000489190.5	ENST00000541997.5
ENST00000647783.1	ENST00000648551.1
ENST00000338876.8	ENST00000491902.1
ENST00000399179.6	ENST00000399180.3
ENST00000620684.1	ENST00000612925.1
ENST00000416110.1	ENST00000441906.1
ENST00000658722.1	ENST00000611323.1
ENST00000351581.4	ENST00000345535.8
ENST00000472595.5	ENST00000622727.4
ENST00000563658.5	ENST00000562714.1
ENST00000563658.5	ENST00000563809.1
ENST00000420308.1	ENST00000621265.1
ENST00000611062.1	ENST00000621409.1
ENST00000384780.1	ENST00000384703.1
ENST00000581433.1	ENST00000578247.1
ENST00000622301.1	ENST00000654923.1
ENST00000365467.1	ENST00000364784.1
ENST00000442090.1	ENST00000439309.1
ENST00000469975.5	ENST00000468237.5
ENST00000382585.2	ENST00000615850.1
ENST00000382585.2	ENST00000618574.1
ENST00000504290.5	ENST00000610623.4
ENST00000619346.4	ENST00000618601.4
ENST00000593751.7	ENST00000596733.7
ENST00000639507.1	ENST00000621762.1
ENST00000445888.6	ENST00000619485.4
ENST00000455570.5	ENST00000426035.1
ENST00000651390.1	ENST00000651842.1
ENST00000641525.1	ENST00000315409.2
ENST00000621869.1	ENST00000384077.1
ENST00000558110.1	ENST00000559065.1
ENST00000431440.2	ENST00000414852.1
ENST00000625031.1	ENST00000593346.1
ENST00000581164.1	ENST00000581138.3
ENST00000613290.4	ENST00000617712.1
ENST00000568534.1	ENST00000565126.5
ENST00000617336.1	ENST00000616522.1
ENST00000617336.1	ENST00000619005.1
ENST00000617336.1	ENST00000613803.1
ENST00000617336.1	ENST00000618679.1
ENST00000617336.1	ENST00000610788.1
ENST00000592322.5	ENST00000618320.4
ENST00000635574.1	ENST00000635696.1
ENST00000651560.1	ENST00000394540.4
ENST00000643253.1	ENST00000645541.1
ENST00000643253.1	ENST00000645853.1
ENST00000643253.1	ENST00000646380.1
ENST00000643253.1	ENST00000644228.1
ENST00000613107.1	ENST00000384179.1
ENST00000504937.5	ENST00000619186.4
ENST00000508794.6	ENST00000504546.5
ENST00000508794.6	ENST00000510264.6
ENST00000571071.5	ENST00000573748.5
ENST00000641938.1	ENST00000316650.5
ENST00000622911.1	ENST00000624791.1
ENST00000622911.1	ENST00000623405.3
ENST00000512880.5	ENST00000602380.1
ENST00000452016.5	ENST00000434885.5
ENST00000513237.5	ENST00000540549.5
ENST00000570084.1	ENST00000565847.1
ENST00000570084.1	ENST00000565415.1
ENST00000569220.1	ENST00000565111.1
ENST00000459414.1	ENST00000364214.1
ENST00000634648.1	ENST00000602548.2
ENST00000563944.1	ENST00000563638.5
ENST00000451543.5	ENST00000623161.3
ENST00000648864.1	ENST00000375419.1
ENST00000624430.1	ENST00000624024.1
ENST00000438063.6	ENST00000435397.6
ENST00000411487.1	ENST00000451397.1
ENST00000641512.1	ENST00000305051.5
ENST00000604642.1	ENST00000604446.1
ENST00000569420.1	ENST00000360260.6
ENST00000569420.1	ENST00000569741.1
ENST00000603664.1	ENST00000604652.1
ENST00000391148.1	ENST00000390855.1
ENST00000391148.1	ENST00000390928.1
ENST00000452468.1	ENST00000440412.1
ENST00000420869.2	ENST00000623787.3
ENST00000440895.2	ENST00000608970.1
ENST00000603326.1	ENST00000603693.1
ENST00000623664.1	ENST00000651813.1
ENST00000604790.2	ENST00000604395.5
ENST00000610302.1	ENST00000620904.1
ENST00000610302.1	ENST00000622591.1
ENST00000602818.2	ENST00000602549.1
ENST00000602818.2	ENST00000602559.5
ENST00000621909.4	ENST00000617746.4
ENST00000384264.1	ENST00000383862.1
ENST00000538439.1	ENST00000564502.1
ENST00000538439.1	ENST00000542518.5
ENST00000647681.1	ENST00000334000.7
ENST00000674054.1	ENST00000563459.5
ENST00000440679.1	ENST00000445813.1
ENST00000477424.2	ENST00000473957.2
ENST00000564154.1	ENST00000566959.1
ENST00000446868.7	ENST00000361101.8
ENST00000648701.1	ENST00000362967.1
ENST00000458170.1	ENST00000636532.1
ENST00000449025.5	ENST00000449085.3
ENST00000436690.1	ENST00000444494.1
ENST00000670483.1	ENST00000620881.2
ENST00000651525.1	ENST00000441025.2
ENST00000445840.2	ENST00000439401.1
ENST00000445840.2	ENST00000523795.4
ENST00000628076.1	ENST00000560037.3
ENST00000415776.1	ENST00000425411.1
ENST00000641486.1	ENST00000312614.4
ENST00000442165.1	ENST00000446969.1
ENST00000265572.8	ENST00000673285.2
ENST00000467027.6	ENST00000672336.1
ENST00000544357.2	ENST00000614894.4
ENST00000544357.2	ENST00000377931.1
ENST00000544357.2	ENST00000377930.1
ENST00000544357.2	ENST00000452123.3
ENST00000544357.2	ENST00000434815.1
ENST00000569679.1	ENST00000562229.1
ENST00000616468.1	ENST00000384745.1
ENST00000616627.1	ENST00000621412.1
ENST00000460772.6	ENST00000424109.6
ENST00000652617.1	ENST00000321367.7
ENST00000537085.1	ENST00000539740.1
ENST00000460841.1	ENST00000461632.1
ENST00000400578.2	ENST00000458444.1
ENST00000400578.2	ENST00000400476.2
ENST00000618304.1	ENST00000616362.1
ENST00000618304.1	ENST00000622248.1
ENST00000617576.2	ENST00000615195.1
ENST00000617576.2	ENST00000618238.1
ENST00000617576.2	ENST00000619712.1
ENST00000624181.1	ENST00000623227.1
ENST00000619030.1	ENST00000408471.1
ENST00000619475.1	ENST00000459194.1
ENST00000619475.1	ENST00000459296.1
ENST00000562812.5	ENST00000563890.5
ENST00000562812.5	ENST00000566173.3
ENST00000424113.5	ENST00000489211.5
ENST00000496463.1	ENST00000494039.1
ENST00000466590.6	ENST00000395562.2
ENST00000613412.1	ENST00000621520.1
ENST00000651752.1	ENST00000374768.1
ENST00000496968.5	ENST00000493248.5
ENST00000647846.1	ENST00000606950.1
ENST00000516872.1	ENST00000516816.1
ENST00000636800.1	ENST00000640925.1
ENST00000618289.1	ENST00000612197.1
ENST00000649743.1	ENST00000619243.1
ENST00000458813.1	ENST00000459337.1
ENST00000520002.5	ENST00000602557.5
ENST00000645479.1	ENST00000646247.1
ENST00000605291.1	ENST00000604059.1
ENST00000400186.7	ENST00000602723.5
ENST00000616519.1	ENST00000614361.1
ENST00000616519.1	ENST00000610974.1
ENST00000561479.1	ENST00000562827.1
ENST00000631420.1	ENST00000632758.1
ENST00000328819.4	ENST00000329684.7
ENST00000623324.1	ENST00000624728.1
ENST00000623324.1	ENST00000624261.1
ENST00000344620.10	ENST00000569959.5
ENST00000615634.1	ENST00000585138.1
ENST00000615634.1	ENST00000578890.1
ENST00000467749.1	ENST00000490071.1
ENST00000575135.5	ENST00000612195.4
ENST00000438965.1	ENST00000419814.1
ENST00000461518.1	ENST00000464691.1
ENST00000535190.1	ENST00000540103.1
ENST00000535190.1	ENST00000540704.1
ENST00000451467.1	ENST00000452889.1
ENST00000430448.3	ENST00000417256.3
ENST00000430448.3	ENST00000457977.3
ENST00000430448.3	ENST00000439466.3
ENST00000430448.3	ENST00000415858.3
ENST00000430448.3	ENST00000441330.3
ENST00000430448.3	ENST00000458218.3
ENST00000549733.5	ENST00000562937.5
ENST00000384699.1	ENST00000459285.1
ENST00000336777.9	ENST00000612490.1
ENST00000620857.1	ENST00000617089.1
ENST00000629881.2	ENST00000486475.5
ENST00000607096.1	ENST00000408734.1
ENST00000607096.1	ENST00000408365.1
ENST00000607096.1	ENST00000408051.1
ENST00000410922.1	ENST00000410903.1
ENST00000410922.1	ENST00000621941.1
ENST00000410922.1	ENST00000612131.1
ENST00000410922.1	ENST00000517021.2
ENST00000516364.1	ENST00000516514.1
ENST00000450895.1	ENST00000624951.1
ENST00000546959.1	ENST00000458623.1
ENST00000413468.1	ENST00000484024.5
ENST00000556853.5	ENST00000494439.5
ENST00000384200.1	ENST00000383979.1
ENST00000384200.1	ENST00000384694.1
ENST00000384200.1	ENST00000384564.1
ENST00000363616.1	ENST00000365629.1
ENST00000363616.1	ENST00000362834.1
ENST00000363616.1	ENST00000365503.1
ENST00000490487.1	ENST00000648237.1
ENST00000623783.1	ENST00000623887.1
ENST00000603753.1	ENST00000605823.1
ENST00000603753.1	ENST00000605353.1
ENST00000603753.1	ENST00000605253.1
ENST00000603753.1	ENST00000604752.1
ENST00000332440.4	ENST00000624561.1
ENST00000363920.1	ENST00000613373.1
ENST00000363920.1	ENST00000459351.1
ENST00000363920.1	ENST00000612037.1
ENST00000384604.1	ENST00000383948.1
ENST00000384604.1	ENST00000384248.1
ENST00000513363.5	ENST00000505394.2
ENST00000631292.1	ENST00000628329.1
ENST00000426867.1	ENST00000428514.1
ENST00000448012.6	ENST00000621622.4
ENST00000617526.4	ENST00000612941.1
ENST00000513228.1	ENST00000509805.5
ENST00000643692.1	ENST00000643446.1
ENST00000622187.4	ENST00000616155.1
ENST00000233114.13	ENST00000539945.7
ENST00000621186.1	ENST00000612080.1
ENST00000621186.1	ENST00000615957.1
ENST00000621186.1	ENST00000619216.1
ENST00000535490.2	ENST00000542739.2
ENST00000416989.2	ENST00000454388.1
ENST00000506697.5	ENST00000512042.1
ENST00000638043.2	ENST00000642680.1
ENST00000605597.5	ENST00000536019.5
ENST00000621110.4	ENST00000620023.4
ENST00000573185.5	ENST00000575698.5
ENST00000620795.1	ENST00000615362.1
ENST00000611908.1	ENST00000613848.1
